,hierid,T_mean
529,CAN.3.68.1531,3.220004061044307
530,CAN.3.59.1396,3.588631975342139
531,CAN.3.64.1469,4.0147134674603535
532,CAN.2.22.543,9.1657412528088
533,CAN.9.124.2434,1.9559628388158867
534,CAN.1.13.314,2.8546743989825245
535,CAN.3.59.1403,3.542884605172162
536,CAN.3.68.1526,3.210942101263811
537,CAN.9.146.2631,7.842817456580576
538,CAN.11.233.3894,3.6126431104673173
539,CAN.2.28.721,8.989621170508542
540,CAN.2.25.673,4.916465509385404
541,CAN.3.64.1470,3.5512396285784575
542,CAN.1.12.302,6.02575572106457
543,CAN.1.13.324,3.613949942933033
544,CAN.2.42.1079,9.830435532215688
545,CAN.3.66.1502,3.5450442311013717
546,CAN.1.1.4,5.97261904256851
547,CAN.1.12.300,5.737887935871413
548,CAN.9.139.2551,2.552514971612027
549,CAN.9.124.2441,1.9408420965502842
550,CAN.9.167.2891,2.575284674707723
551,CAN.9.124.2439,1.9336998042620053
552,CAN.9.139.2570,3.4065388099983807
553,CAN.1.13.316,4.500422278530152
554,CAN.9.139.2562,3.343625001479438
555,CAN.2.33.883,11.064729974140391
556,CAN.2.25.657,4.834580869176364
557,CAN.11.254.4194,3.3887431473047815
558,CAN.9.124.2431,1.9233259148591155
559,CAN.9.124.2447,1.8828262631773924
560,CAN.1.13.318,4.500422278530152
561,CAN.1.12.308,5.940050566139973
562,CAN.2.37.997,7.9013572328139094
563,CAN.3.66.1504,3.6202523806935005
564,CAN.9.167.2890,2.1057500032756877
565,CAN.2.33.913,10.892773876474564
566,CAN.3.66.1500,3.4169511241180714
567,CAN.3.64.1483,3.7676974298249206
568,CAN.2.25.675,6.027070787398259
569,CAN.3.64.1478,3.7676974298249206
570,CAN.9.139.2578,3.7122999664510985
571,CAN.11.212.3592,1.4363490881295888
572,CAN.1.12.296,5.675117631907824
573,CAN.3.65.1486,3.0784897493496715
574,CAN.9.162.2807,3.8038793980041987
575,CAN.9.162.2806,3.829324402414443
576,CAN.11.228.3805,1.8528881332828178
577,CAN.11.247.4076,2.8624706956369437
578,CAN.2.25.670,4.996091717250749
579,CAN.2.35.956,6.294177462761581
580,CAN.2.37.996,8.7271772169222
581,CAN.2.35.958,5.5660165294182775
582,CAN.3.66.1509,3.8395108732999574
583,CAN.3.65.1485,3.1153915928389324
584,CAN.11.259.4275,1.6519062610608444
585,CAN.9.162.2794,3.755393678617054
586,CAN.9.162.2795,3.755393678617054
587,CAN.2.35.965,6.294177462761581
588,CAN.9.167.2888,2.666274090810873
589,CAN.1.12.292,5.802093285387002
590,CAN.11.273.4524,1.9989308584672414
591,CAN.11.177.3113,1.8338120791762962
592,CAN.11.233.3901,1.6956787576145813
593,CAN.11.233.3905,2.319345947285939
594,CAN.11.198.3419,5.363016397155718
